DATE,ECOMSA
1999-10-01,4476.0
2000-01-01,5691.0
2000-04-01,6465.0
2000-07-01,7419.0
2000-10-01,7840.0
2001-01-01,8135.0
2001-04-01,8336.0
2001-07-01,8335.0
2001-10-01,9314.0
2002-01-01,9904.0
2002-04-01,10742.0
2002-07-01,11543.0
2002-10-01,12231.0
2003-01-01,12738.0
2003-04-01,13773.0
2003-07-01,14833.0
2003-10-01,15588.0
2004-01-01,16697.0
2004-04-01,17519.0
2004-07-01,18506.0
2004-10-01,19631.0
2005-01-01,20801.0
2005-04-01,22233.0
2005-07-01,23653.0
2005-10-01,24364.0
2006-01-01,26417.0
2006-04-01,27367.0
2006-07-01,28842.0
2006-10-01,30138.0
2007-01-01,31728.0
2007-04-01,33524.0
2007-07-01,34841.0
2007-10-01,35784.0
2008-01-01,36017.0
2008-04-01,36544.0
2008-07-01,36292.0
2008-10-01,33042.0
2009-01-01,34132.0
2009-04-01,35282.0
2009-07-01,37402.0
2009-10-01,38110.0
2010-01-01,39289.0
2010-04-01,41303.0
2010-07-01,43472.0
2010-10-01,45077.0
2011-01-01,47024.0
2011-04-01,48832.0
2011-07-01,50154.0
2011-10-01,53153.0
2012-01-01,55174.0
2012-04-01,56455.0
2012-07-01,58486.0
2012-10-01,60834.0
2013-01-01,62522.0
2013-04-01,64461.0
2013-07-01,66541.0
2013-10-01,69103.0
2014-01-01,71211.0
2014-04-01,74408.0
2014-07-01,77087.0
2014-10-01,79189.0
2015-01-01,82035.0
2015-04-01,84926.0
2015-07-01,88030.0
2015-10-01,90792.0
2016-01-01,93973.0
2016-04-01,97404.0
2016-07-01,100822.0
2016-10-01,103971.0
2017-01-01,108181.0
2017-04-01,113030.0
2017-07-01,116689.0
2017-10-01,121475.0
2018-01-01,125334.0
2018-04-01,129046.0
2018-07-01,132819.0
2018-10-01,134969.0
2019-01-01,140346.0
2019-04-01,146204.0
